2019-11-20 22:26:27,711 - BDM-WAM 1574288787.623302 - INFO - <Event(17-VideoExpose {})>
2019-11-20 22:26:32,448 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (581, 174), 'rel': (15, 26)})>
2019-11-20 22:26:32,464 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (590, 190), 'rel': (9, 16)})>
2019-11-20 22:26:32,480 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (597, 201), 'rel': (7, 11)})>
2019-11-20 22:26:32,497 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (600, 208), 'rel': (3, 7)})>
2019-11-20 22:26:32,514 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (603, 216), 'rel': (3, 8)})>
2019-11-20 22:26:32,530 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (606, 222), 'rel': (3, 6)})>
2019-11-20 22:26:32,548 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (610, 225), 'rel': (4, 3)})>
2019-11-20 22:26:32,564 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (612, 228), 'rel': (2, 3)})>
2019-11-20 22:26:32,581 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (614, 230), 'rel': (2, 2)})>
2019-11-20 22:26:32,597 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (616, 231), 'rel': (2, 1)})>
2019-11-20 22:26:32,614 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (618, 232), 'rel': (2, 1)})>
2019-11-20 22:26:32,631 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (622, 234), 'rel': (4, 2)})>
2019-11-20 22:26:32,648 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (631, 238), 'rel': (9, 4)})>
2019-11-20 22:26:32,663 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (636, 241), 'rel': (5, 3)})>
2019-11-20 22:26:32,680 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (649, 247), 'rel': (13, 6)})>
2019-11-20 22:26:32,697 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (664, 253), 'rel': (15, 6)})>
2019-11-20 22:26:32,712 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (677, 259), 'rel': (13, 6)})>
2019-11-20 22:26:32,728 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (680, 260), 'rel': (3, 1)})>
2019-11-20 22:26:32,745 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (680, 261), 'rel': (0, 1)})>
2019-11-20 22:26:32,777 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (682, 263), 'rel': (2, 2)})>
2019-11-20 22:26:32,794 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (686, 266), 'rel': (4, 3)})>
2019-11-20 22:26:32,811 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (692, 271), 'rel': (6, 5)})>
2019-11-20 22:26:32,827 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (708, 280), 'rel': (16, 9)})>
2019-11-20 22:26:32,843 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (721, 287), 'rel': (13, 7)})>
2019-11-20 22:26:32,859 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (727, 292), 'rel': (6, 5)})>
2019-11-20 22:26:32,927 - BDM-WAM 1574288787.623302 - INFO - <Event(5-MouseButtonDown {'window': None, 'button': 1, 'pos': (727, 292)})>
2019-11-20 22:26:32,927 - BDM-WAM 1574288787.623302 - INFO - <Event(8-Pause {'reason': <bound method GameManager.pause of <game.GameManager object at 0x000002D3549B5D68>> })>
2019-11-20 22:26:33,579 - BDM-WAM 1574288787.623302 - INFO - <Event(7-Rate {'': hit_conf50 })>
2019-11-20 22:26:33,845 - BDM-WAM 1574288787.623302 - INFO - <Event(7-Rate {'': reward_conf50 })>
2019-11-20 22:26:34,066 - BDM-WAM 1574288787.623302 - INFO - <Event(7-Rate {'': player_skill50 })>
2019-11-20 22:26:34,067 - BDM-WAM 1574288787.623302 - INFO - <Event(9.1-True Hit {'pos': (727,292), 'window': None})>
2019-11-20 22:26:34,212 - BDM-WAM 1574288787.623302 - INFO - <Event(3-KeyUp {'window': None, 'mod': 0, 'key': 50, 'scancode': 3})>
2019-11-20 22:26:34,213 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (395, 217), 'rel': (-10, 25)})>
2019-11-20 22:26:34,227 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (388, 242), 'rel': (-7, 25)})>
2019-11-20 22:26:34,243 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (382, 264), 'rel': (-6, 22)})>
2019-11-20 22:26:34,259 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (378, 281), 'rel': (-4, 17)})>
2019-11-20 22:26:34,276 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (373, 299), 'rel': (-5, 18)})>
2019-11-20 22:26:34,292 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (372, 309), 'rel': (-1, 10)})>
2019-11-20 22:26:34,307 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (371, 316), 'rel': (-1, 7)})>
2019-11-20 22:26:34,323 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (371, 319), 'rel': (0, 3)})>
2019-11-20 22:26:34,340 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (371, 321), 'rel': (0, 2)})>
2019-11-20 22:26:34,356 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (371, 322), 'rel': (0, 1)})>
2019-11-20 22:26:34,404 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (370, 328), 'rel': (-1, 6)})>
2019-11-20 22:26:34,422 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (369, 334), 'rel': (-1, 6)})>
2019-11-20 22:26:34,439 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (367, 342), 'rel': (-2, 8)})>
2019-11-20 22:26:34,455 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (363, 357), 'rel': (-4, 15)})>
2019-11-20 22:26:34,471 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (361, 367), 'rel': (-2, 10)})>
2019-11-20 22:26:34,513 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (359, 375), 'rel': (-2, 8)})>
2019-11-20 22:26:34,565 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (375, 378), 'rel': (16, 3)})>
2019-11-20 22:26:34,582 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (424, 381), 'rel': (49, 3)})>
2019-11-20 22:26:34,599 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (467, 379), 'rel': (43, -2)})>
2019-11-20 22:26:34,617 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (521, 369), 'rel': (54, -10)})>
2019-11-20 22:26:34,633 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (544, 360), 'rel': (23, -9)})>
2019-11-20 22:26:34,650 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (553, 355), 'rel': (9, -5)})>
2019-11-20 22:26:34,666 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (555, 352), 'rel': (2, -3)})>
2019-11-20 22:26:34,682 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (555, 351), 'rel': (0, -1)})>
2019-11-20 22:26:34,948 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (563, 349), 'rel': (8, -2)})>
2019-11-20 22:26:34,964 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (567, 347), 'rel': (4, -2)})>
2019-11-20 22:26:34,981 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (567, 346), 'rel': (0, -1)})>
2019-11-20 22:26:35,027 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (557, 339), 'rel': (-10, -7)})>
2019-11-20 22:26:35,029 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (557, 338), 'rel': (0, -1)})>
2019-11-20 22:26:35,046 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (545, 333), 'rel': (-12, -5)})>
2019-11-20 22:26:35,061 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (532, 330), 'rel': (-13, -3)})>
2019-11-20 22:26:35,078 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (518, 329), 'rel': (-14, -1)})>
2019-11-20 22:26:35,095 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (505, 329), 'rel': (-13, 0)})>
2019-11-20 22:26:35,138 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (490, 333), 'rel': (-15, 4)})>
2019-11-20 22:26:35,155 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (489, 334), 'rel': (-1, 1)})>
2019-11-20 22:26:35,171 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (488, 335), 'rel': (-1, 1)})>
2019-11-20 22:26:35,205 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (487, 335), 'rel': (-1, 0)})>
2019-11-20 22:26:35,251 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (484, 336), 'rel': (-3, 1)})>
2019-11-20 22:26:35,268 - BDM-WAM 1574288787.623302 - INFO - <Event(4-MouseMotion {'window': None, 'buttons': (0, 0, 0), 'pos': (486, 337), 'rel': (2, 1)})>
