2019-11-23 21:21:16,791 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-3, -5), 'buttons': (0, 0, 0), 'pos': (646, 60), 'window': None})>
2019-11-23 21:21:16,807 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (0, -1), 'buttons': (0, 0, 0), 'pos': (646, 59), 'window': None})>
2019-11-23 21:21:16,825 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-1, -1), 'buttons': (0, 0, 0), 'pos': (645, 58), 'window': None})>
2019-11-23 21:21:16,875 - BDM-WAM 1574544069.3801665 - INFO - <Event(5-MouseButtonDown {'button': 1, 'pos': (645, 58), 'window': None})>
2019-11-23 21:21:16,875 - BDM-WAM 1574544069.3801665 - INFO - <Event(9.1-True Hit {'pos': (645,58),'distance: 63.0317380372777,'relative_loc: (42, 47),'window': None})>
2019-11-23 21:21:17,008 - BDM-WAM 1574544069.3801665 - INFO - <Event(6-MouseButtonUp {'button': 1, 'pos': (645, 58), 'window': None})>
2019-11-23 21:21:17,285 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-1, 3), 'buttons': (0, 0, 0), 'pos': (644, 61), 'window': None})>
2019-11-23 21:21:17,404 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-13, 30), 'buttons': (0, 0, 0), 'pos': (631, 91), 'window': None})>
2019-11-23 21:21:17,607 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-101, 110), 'buttons': (0, 0, 0), 'pos': (530, 201), 'window': None})>
2019-11-23 21:21:17,677 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-2, 1), 'buttons': (0, 0, 0), 'pos': (528, 202), 'window': None})>
2019-11-23 21:21:17,692 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-12, 0), 'buttons': (0, 0, 0), 'pos': (516, 202), 'window': None})>
2019-11-23 21:21:17,710 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-13, 0), 'buttons': (0, 0, 0), 'pos': (503, 202), 'window': None})>
2019-11-23 21:21:17,727 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-17, -1), 'buttons': (0, 0, 0), 'pos': (486, 201), 'window': None})>
2019-11-23 21:21:17,743 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-3, 0), 'buttons': (0, 0, 0), 'pos': (483, 201), 'window': None})>
2019-11-23 21:21:17,760 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-2, -1), 'buttons': (0, 0, 0), 'pos': (481, 200), 'window': None})>
2019-11-23 21:21:17,776 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-2, -1), 'buttons': (0, 0, 0), 'pos': (479, 199), 'window': None})>
2019-11-23 21:21:17,792 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-3, -2), 'buttons': (0, 0, 0), 'pos': (476, 197), 'window': None})>
2019-11-23 21:21:17,905 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-6, -5), 'buttons': (0, 0, 0), 'pos': (470, 192), 'window': None})>
2019-11-23 21:21:17,912 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (0, -2), 'buttons': (0, 0, 0), 'pos': (470, 190), 'window': None})>
2019-11-23 21:21:18,017 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (33, -32), 'buttons': (0, 0, 0), 'pos': (503, 158), 'window': None})>
2019-11-23 21:21:18,024 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (1, 0), 'buttons': (0, 0, 0), 'pos': (504, 158), 'window': None})>
2019-11-23 21:21:18,129 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-5, 14), 'buttons': (0, 0, 0), 'pos': (499, 172), 'window': None})>
2019-11-23 21:21:18,134 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-4, 6), 'buttons': (0, 0, 0), 'pos': (495, 178), 'window': None})>
2019-11-23 21:21:18,148 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-44, 13), 'buttons': (0, 0, 0), 'pos': (451, 191), 'window': None})>
2019-11-23 21:21:18,165 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-49, 11), 'buttons': (0, 0, 0), 'pos': (402, 202), 'window': None})>
2019-11-23 21:21:18,183 - BDM-WAM 1574544069.3801665 - INFO - <Event(4-MouseMotion {'rel': (-77, 3), 'buttons': (0, 0, 0), 'pos': (325, 205), 'window': None})>
