2019-11-20 21:53:20,007 - BDM-WAM 1574286799.8206518 - INFO - <Event(17-VideoExpose {})>
2019-11-20 21:53:22,363 - BDM-WAM 1574286799.8206518 - INFO - <Event(16-VideoResize {'w': 800, 'h': 700, 'size': (800, 700)})>
2019-11-20 21:53:26,654 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (357, 245), 'rel': (16, 13), 'window': None})>
2019-11-20 21:53:26,670 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (378, 266), 'rel': (21, 21), 'window': None})>
2019-11-20 21:53:26,687 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (403, 288), 'rel': (25, 22), 'window': None})>
2019-11-20 21:53:26,703 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (433, 317), 'rel': (30, 29), 'window': None})>
2019-11-20 21:53:26,720 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (463, 353), 'rel': (30, 36), 'window': None})>
2019-11-20 21:53:26,738 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (490, 382), 'rel': (27, 29), 'window': None})>
2019-11-20 21:53:26,753 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (496, 393), 'rel': (6, 11), 'window': None})>
2019-11-20 21:53:26,770 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (498, 397), 'rel': (2, 4), 'window': None})>
2019-11-20 21:53:27,060 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (483, 405), 'rel': (-15, 8), 'window': None})>
2019-11-20 21:53:27,078 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (472, 405), 'rel': (-11, 0), 'window': None})>
2019-11-20 21:53:27,094 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (463, 401), 'rel': (-9, -4), 'window': None})>
2019-11-20 21:53:27,165 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (435, 390), 'rel': (-28, -11), 'window': None})>
2019-11-20 21:53:27,184 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (419, 379), 'rel': (-16, -11), 'window': None})>
2019-11-20 21:53:27,201 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (406, 369), 'rel': (-13, -10), 'window': None})>
2019-11-20 21:53:27,286 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (367, 325), 'rel': (-39, -44), 'window': None})>
2019-11-20 21:53:27,304 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (371, 312), 'rel': (4, -13), 'window': None})>
2019-11-20 21:53:27,321 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (412, 281), 'rel': (41, -31), 'window': None})>
2019-11-20 21:53:27,337 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (464, 257), 'rel': (52, -24), 'window': None})>
2019-11-20 21:53:27,354 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (525, 242), 'rel': (61, -15), 'window': None})>
2019-11-20 21:53:27,371 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (563, 237), 'rel': (38, -5), 'window': None})>
2019-11-20 21:53:27,387 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (579, 235), 'rel': (16, -2), 'window': None})>
2019-11-20 21:53:27,403 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (590, 235), 'rel': (11, 0), 'window': None})>
2019-11-20 21:53:27,421 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (597, 235), 'rel': (7, 0), 'window': None})>
2019-11-20 21:53:27,437 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (599, 236), 'rel': (2, 1), 'window': None})>
2019-11-20 21:53:27,454 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (601, 237), 'rel': (2, 1), 'window': None})>
2019-11-20 21:53:27,471 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (602, 237), 'rel': (1, 0), 'window': None})>
2019-11-20 21:53:27,488 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (603, 239), 'rel': (1, 2), 'window': None})>
2019-11-20 21:53:27,521 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (604, 242), 'rel': (1, 3), 'window': None})>
2019-11-20 21:53:27,538 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (606, 246), 'rel': (2, 4), 'window': None})>
2019-11-20 21:53:27,555 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (607, 253), 'rel': (1, 7), 'window': None})>
2019-11-20 21:53:27,571 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (608, 259), 'rel': (1, 6), 'window': None})>
2019-11-20 21:53:27,588 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (610, 265), 'rel': (2, 6), 'window': None})>
2019-11-20 21:53:27,605 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (615, 273), 'rel': (5, 8), 'window': None})>
2019-11-20 21:53:27,621 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (618, 276), 'rel': (3, 3), 'window': None})>
2019-11-20 21:53:27,637 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (622, 280), 'rel': (4, 4), 'window': None})>
2019-11-20 21:53:27,654 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (631, 286), 'rel': (9, 6), 'window': None})>
2019-11-20 21:53:27,670 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (640, 294), 'rel': (9, 8), 'window': None})>
2019-11-20 21:53:27,686 - BDM-WAM 1574286799.8206518 - INFO - <Event(4-MouseMotion {'buttons': (0, 0, 0), 'pos': (653, 304), 'rel': (13, 10), 'window': None})>
